AMR,Alice: Madness Returns
SFXT,Street Fighter X Tekken
TX,Tales of Xillia
T6,Tekken 6
T5,Tekken 5: Dark Ressurection
TKR,Tekken Revolution
TTT2,Tekken Tag Tournament 2
TS3,Toy Story 3
TR,Tomb Raider
TTT,The Tomb Raider Trilogy
TRU,Tomb Raider: Underworld
USF4,Ultra Street Fighter IV
UDF,Uncharted: Drake's Fortune
U2,Uncharted 2: Among Thieves
U3,Uncharted 3: Drake's Deception
VH,Vanquish
WK,Warhawk
WKC,White Knight Chronicles
WKC2,White Knight Chronicles II
XMO,X-Men Origins: Wolverine
Y3,Yakuza 3
Y4,Yakuza 4
YDS,Yakuza: Dead Souls
ZZ,Zack Zero
ZA,Zombie Apocalyps
ZEHD,Zone of the Enders HD Collection
